label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,
72,45,36,37,759.1882425,830.9222876,-4025.982131,483.8215146,1761.501949,3463.615432,320.397481,1886.975728,-3379.838212,109.1160857,2194.687543,3033.228552
73,-48,-14,57,4492.033581,-170.6253653,3450.857697,4160.496486,-1341.63449,-2984.940426,3494.458208,-1227.679876,3143.470584,4024.49901,-1539.458107,-2722.596382
74,-44,-37,23,1411.87951,-2524.30951,3535.732825,895.8865113,-2485.733037,-2614.377583,1015.121561,-2472.184048,2402.984808,1074.410424,-2681.441575,-2033.149788
75,-9,39,-22,-1477.581747,-2652.17832,-371.2707873,-1386.076691,-2280.148383,1253.318509,-1030.063561,-2098.76907,-1373.481888,-695.3528166,-1848.80343,1411.559415
76,43,-35,-16,-2941.909703,879.1044538,-692.7500546,-2832.257511,916.508356,572.3767136,-2647.477596,707.7179087,-639.3178345,-2637.331126,466.3765994,222.3940911
77,-36,-74,17,315.5141114,-111.5687751,2863.48829,392.6265732,-1136.16816,-3164.781999,388.6360358,-922.1785147,2415.148153,503.3226571,-1142.809988,-2139.736258
78,20,11,12,-2299.0761,-410.2072087,-1802.935722,-2134.747979,249.6833751,2077.263978,-1908.854532,197.3947953,-1732.621031,-1898.895655,432.2827077,1738.915734
79,19,-67,20,-1911.378169,1824.919955,1963.527109,-1215.721382,1196.725009,-2041.880312,-1434.33276,991.720858,1946.437738,-1496.314249,527.3670687,-2113.944226
80,6,-82,6,-2297.489687,1707.168607,1508.289956,-2150.364203,1053.43488,-1544.200739,-2161.992525,738.2257696,1262.102131,-1966.083044,331.637265,-1459.816022
81,-31,2,57,4121.152758,-2384.626215,1679.978556,3275.601253,-3030.985543,-1136.267236,3237.860174,-2789.460619,1129.756192,3910.807962,-2367.25879,-769.1507846
82,-63,-17,12,256.2261835,-3496.603276,1626.562081,-185.6471686,-3435.86249,-1102.608044,10.01907188,-3118.06093,794.5274518,162.495627,-3042.929199,-185.4392533
83,38,57,20,1770.411919,-213.160667,-4890.560979,2205.749015,1225.67679,4335.512984,2024.896974,1238.041402,-4068.360781,1885.010499,1759.318848,3731.676439
84,51,34,-8,-1369.268153,191.6184559,-2970.998498,-1123.633435,990.9812781,2414.750577,-1114.70894,1172.840674,-2270.827971,-996.5398705,1452.630481,2129.864901
85,42,-32,44,2571.480478,5656.170572,-1664.626402,2636.517057,5113.995654,-306.9470191,2728.332254,4894.293525,940.0323042,2300.120361,4691.727269,-1521.513724
