label;Anatomy;region_name;hemisphere
2097;Left;MNI(-57:-31:47);left
2098;Left;MNI(-14:-31:0);left
2099;Right;MNI(60:-33:28);right
2100;Left;MNI(-56:-39:9);left
2101;Right;MNI(2:-50:-17);right
2102;Left;MNI(-4:69:11);left
2103;Right;MNI(57:15:0);right
2104;Left;MNI(-13:-81:41);left
2105;Right;MNI(10:1:0);right
2106;Right;MNI(46:-3:57);right
2107;Left;MNI(-35:-76:-14);left
2108;Left;MNI(-50:-13:41);left
2109;Left;MNI(-45:27:19);left
2110;Left;MNI(-16:12:5);left
2111;Left;MNI(-26:15:-41);left
2112;Right;MNI(14:-22:75);right
2113;Right;MNI(31:-72:-6);right
2114;Right;MNI(41:12:38);right
2115;Right;MNI(7:14:-4);right
2116;Left;MNI(-9:-29:-9);left
2117;Left;MNI(-42:-49:42);left
2118;Left;MNI(-1:-31:32);left
2119;Left;MNI(-16:-27:-14);left
2120;Right;MNI(31:-37:-15);right
2121;Left;MNI(-57:9:29);left
2122;Right;MNI(10:-62:30);right
2123;Right;MNI(52:-63:15);right
2124;Right;MNI(42:32:-13);right
2125;Right;MNI(42:42:20);right
2126;Left;MNI(-33:24:-17);left
2127;Left;MNI(-18:63:2);left
2128;Right;MNI(13:-66:3);right
2129;Right;MNI(60:-48:42);right
2130;Left;MNI(-3:-61:-44);left
2131;Right;MNI(30:-3:-18);right
2132;Left;MNI(-3:-6:56);left
2133;Right;MNI(59:-12:-6);right
2134;Right;MNI(3:-3:-10);right
2135;Left;MNI(-41:-36:60);left
2136;Right;MNI(39:-20:58);right
2137;Right;MNI(15:-78:6);right
2138;Right;MNI(7:50:47);right
2139;Left;MNI(-42:-78:4);left
2140;Right;MNI(40:52:8);right
2141;Left;MNI(-4:45:51);left
2142;Left;MNI(-38:-76:32);left
2143;Right;MNI(54:-43:53);right
2144;Right;MNI(63:-55:7);right
2145;Left;MNI(-12:-69:9);left
2146;Right;MNI(15:-14:12);right
2147;Right;MNI(58:-7:20);right
2148;Right;MNI(59:-15:26);right
2149;Right;MNI(39:-55:51);right
2150;Left;MNI(-21:22:50);left
2151;Left;MNI(-61:-19:25);left
2152;Right;MNI(51:27:36);right
2153;Right;MNI(3:26:56);right
2154;Right;MNI(1:-55:36);right
2155;Left;MNI(-5:-15:18);left
2156;Left;MNI(-42:21:36);left
2157;Left;MNI(-25:48:-13);left
2158;Left;MNI(-2:50:31);left
2159;Left;MNI(-3:16:69);left
2160;Right;MNI(12:-29:5);right
2161;Left;MNI(-40:6:36);left
2162;Left;MNI(-42:-35:44);left
2163;Left;MNI(-22:-54:-26);left
2164;Left;MNI(-50:13:14);left
2165;Right;MNI(41:-4:-9);right
2166;Left;MNI(-1:18:-8);left
2167;Left;MNI(-48:-3:41);left
2168;Left;MNI(-56:-24:-23);left
2169;Right;MNI(16:-33:7);right
2170;Right;MNI(5:-1:43);right
2171;Left;MNI(-49:-57:42);left
2172;Left;MNI(-53:-50:-18);left
2173;Right;MNI(3:44:-3);right
2174;Right;MNI(44:-72:19);right
2175;Left;MNI(-19:-9:-32);left
2176;Right;MNI(41:-47:-24);right
2177;Left;MNI(-7:-90:16);left
2178;Right;MNI(10:21:33);right
2179;Left;MNI(-4:54:5);left
2180;Right;MNI(26:-76:-30);right
2181;Left;MNI(-5:-55:-8);left
2182;Right;MNI(26:48:34);right
2183;Right;MNI(66:-21:-15);right
2184;Right;MNI(7:-82:-17);right
2185;Left;MNI(-15:-72:53);left
2186;Right;MNI(45:-8:48);right
2187;Left;MNI(-41:-76:24);left
2188;Right;MNI(11:-31:39);right
2189;Left;MNI(-48:23:10);left
2190;Right;MNI(35:-5:-32);right
2191;Left;MNI(-44:-67:-10);left
2192;Right;MNI(64:-3:33);right
2193;Right;MNI(2:-34:-41);right
2194;Left;MNI(-57:3:2);left
2195;Right;MNI(6:14:63);right
2196;Right;MNI(1:-52:59);right
2197;Left;MNI(-18:-84:-27);left
2198;Left;MNI(-37:24:-10);left
2199;Left;MNI(-6:0:16);left
2200;Left;MNI(-51:-29:33);left
2201;Left;MNI(-55:-59:-3);left
